no,id,parent_id,theme,confidence,status,headline_hi,headline_en,question_hi,question_en,rti_ref,permalink,sources
22,29,,infrastructure,B,verified,तीन साल बाद उसी सुरंग में एक और मौत,Another death in the same tunnel three years on,जुलाई 2026 में उसी सिलक्यारा सुरंग में शॉटक्रीट लाइनिंग गिरने से एक 21 साल के मज़दूर की मौत हो गई। 2023 के हादसे के लगभग तीन साल बाद भी उसी सुरंग में मज़दूर की जान जा रही है। सुरक्षा में क्या बदला?,"In July 2026 a 21-year-old worker was killed when shotcrete lining collapsed inside the same Silkyara tunnel. Nearly three years after the 2023 disaster, workers are still dying in that tunnel. What changed in safety?",,https://70sawal.github.io/q/29/,ANI: Jharkhand worker dies after concrete lining collapses inside Silkyara Tunnel; NHIDCL launches probe <https://aninews.in/news/national/general-news/jharkhand-worker-dies-after-concrete-lining-collapses-inside-silkyara-tunnel-nhidcl-launches-probe20260716125515/> | The Tunnelling Journal: Worker killed in Silkyara-Barkot tunnel lining collapse <https://tunnellingjournal.com/worker-killed-in-silkyara-barkot-tunnel-lining-collapse/>
23,30,,vaada,A,verified,"वादा: BPL महिला मुखिया को ₹2,000 महीना","Promised: Rs 2,000 a month to BPL women heads","दृष्टि पत्र 2022 का वादा, गरीबी रेखा से नीचे (BPL) परिवारों की महिला मुखिया को हर महीने 2,000 रुपये, और नाबालिग बच्चों की देखभाल के लिए 1,000 रुपये अतिरिक्त। आज तक कितनी महिलाओं को यह पैसा मिला?","Drishti Patra 2022 promised Rs 2,000 a month to women heads of BPL families, plus Rs 1,000 for the care of minor children. How many women have actually received it?",RTI-07,https://70sawal.github.io/q/30/,"Bharatiya Janata Party: Uttarakhand Drishti Patra 2022 — BJP election manifesto (official PDF) <https://www.bjp.org/files/election-manifesto-documents/Manifesto%20English%20UK_2.pdf> | Asianet Newsable: BJP's 'Drishti Patra 2022' promises jobs, increased pension and more <https://newsable.asianetnews.com/india/uttarakhand-election-2022-bjp-drishti-patra-2022-promises-jobs-increased-pension-and-more-gcw-r71kv0>"
24,31,,vaada,A,verified,"वादा: पहाड़ की गर्भवती महिलाओं को ₹40,000","Promised: Rs 40,000 to pregnant women in the hills","दृष्टि पत्र 2022 का वादा, पहाड़ी क्षेत्रों में रहने वाली गर्भवती महिलाओं को 40,000 रुपये। कितनी महिलाओं को यह राशि मिली, और किस योजना के तहत?","Drishti Patra 2022 promised Rs 40,000 to pregnant women living in the hill regions. How many women received it, and under which scheme?",RTI-07,https://70sawal.github.io/q/31/,"Bharatiya Janata Party: Uttarakhand Drishti Patra 2022 — BJP election manifesto (official PDF) <https://www.bjp.org/files/election-manifesto-documents/Manifesto%20English%20UK_2.pdf> | Asianet Newsable: BJP's 'Drishti Patra 2022' promises jobs, increased pension and more <https://newsable.asianetnews.com/india/uttarakhand-election-2022-bjp-drishti-patra-2022-promises-jobs-increased-pension-and-more-gcw-r71kv0>"
25,32,,vaada,A,verified,वादा: साल में तीन मुफ़्त गैस सिलेंडर,Promised: three free gas cylinders a year,"दृष्टि पत्र 2022 का वादा, गरीब परिवारों को साल में तीन मुफ़्त रसोई गैस सिलेंडर। कितने परिवारों को कितने सिलेंडर मिले?",Drishti Patra 2022 promised three free LPG cylinders a year to poor families. How many families received how many cylinders?,RTI-07,https://70sawal.github.io/q/32/,"Bharatiya Janata Party: Uttarakhand Drishti Patra 2022 — BJP election manifesto (official PDF) <https://www.bjp.org/files/election-manifesto-documents/Manifesto%20English%20UK_2.pdf> | Asianet Newsable: BJP's 'Drishti Patra 2022' promises jobs, increased pension and more <https://newsable.asianetnews.com/india/uttarakhand-election-2022-bjp-drishti-patra-2022-promises-jobs-increased-pension-and-more-gcw-r71kv0>"
26,33,,vaada,A,verified,"वादा: बुज़ुर्ग पेंशन ₹3,600","Promised: old-age pension of Rs 3,600","दृष्टि पत्र 2022 का वादा, बुज़ुर्गों की पेंशन बढ़ाकर 3,600 रुपये। आज पेंशन कितनी है, और कब से बढ़ी?","Drishti Patra 2022 promised to raise the old-age pension to Rs 3,600. What is the pension today, and from when was it increased?",RTI-07,https://70sawal.github.io/q/33/,"Bharatiya Janata Party: Uttarakhand Drishti Patra 2022 — BJP election manifesto (official PDF) <https://www.bjp.org/files/election-manifesto-documents/Manifesto%20English%20UK_2.pdf> | Asianet Newsable: BJP's 'Drishti Patra 2022' promises jobs, increased pension and more <https://newsable.asianetnews.com/india/uttarakhand-election-2022-bjp-drishti-patra-2022-promises-jobs-increased-pension-and-more-gcw-r71kv0>"
27,34,,vaada,A,verified,वादा: बागवानी और डेयरी को ₹500-₹500 करोड़,Promised: Rs 500 crore each for horticulture and dairy,"दृष्टि पत्र 2022 का वादा, बागवानी के लिए 500 करोड़ और डेयरी विकास के लिए 500 करोड़ रुपये। इन दोनों मदों में अब तक कितना पैसा वाकई ख़र्च हुआ?",Drishti Patra 2022 promised Rs 500 crore for horticulture and Rs 500 crore for dairy development. How much of each has actually been spent?,RTI-07,https://70sawal.github.io/q/34/,"Bharatiya Janata Party: Uttarakhand Drishti Patra 2022 — BJP election manifesto (official PDF) <https://www.bjp.org/files/election-manifesto-documents/Manifesto%20English%20UK_2.pdf> | Asianet Newsable: BJP's 'Drishti Patra 2022' promises jobs, increased pension and more <https://newsable.asianetnews.com/india/uttarakhand-election-2022-bjp-drishti-patra-2022-promises-jobs-increased-pension-and-more-gcw-r71kv0>"
28,35,,vaada,B,verified,पच्चीस साल से राजधानी 'अस्थायी',"Twenty-five years, and the capital is still 'interim'","2000 में राज्य बना तो देहरादून को अस्थायी राजधानी बनाया गया, इस समझ के साथ कि आगे चलकर गैरसैंण राजधानी बनेगी। 2017 के दृष्टि पत्र में गैरसैंण को स्थायी राजधानी बनाने के सभी विकल्प तलाशने की बात कही गई। ग्रीष्मकालीन राजधानी की घोषणा हुई, स्थायी राजधानी आज भी देहरादून है। पच्चीस साल बाद भी 'अस्थायी' कब तक?","When the state was formed in 2000, Dehradun was made the interim capital on the understanding that Gairsain would eventually become the capital. The 2017 vision document spoke of exploring all options for making Gairsain the permanent capital. A summer capital was announced; the permanent capital is still Dehradun. How long does 'interim' last, twenty-five years and counting?",,https://70sawal.github.io/q/35/,Newslaundry: 'How will this construction benefit us?': Uttarakhand residents waiting for Gairsain's capital status <https://www.newslaundry.com/2022/02/04/how-will-this-construction-benefit-us-uttarakhand-residents-waiting-for-gairsains-capital-status>
29,36,,environment,B,verified,जंगल की आग में देश में पहला नंबर,First in the country for forest fires,"23 नवंबर 2023 से 19 जून 2024 के बीच उत्तराखंड में जंगल की आग की 11,256 घटनाएँ दर्ज हुईं, 13 में से 11 ज़िलों में। भारत वन स्थिति रिपोर्ट में उत्तराखंड 2023 के 13वें स्थान से 2024 में देश में पहले नंबर पर पहुँच गया। 2024 की आग में 12 लोगों की जान गई, जिनमें 6 वन विभाग के अपने कर्मचारी थे। यह तैयारी थी या नाकामी?","Between 23 November 2023 and 19 June 2024, Uttarakhand recorded 11,256 forest fire incidents across 11 of its 13 districts. In the India State of Forest Report the state rose from 13th in 2023 to first in the country in 2024. Twelve people died in the 2024 fires, six of them forest department staff. Was that preparedness, or failure?",,https://70sawal.github.io/q/36/,"IIRS, ISRO: Satellite-based observations of forest fires, 2024, in Uttarakhand <https://science.iirs.gov.in/satellite-based-observations-of-forest-fires-2024-in-uttarakhand/> | Mongabay India: Uttarakhand forests burn while fire guards face outstanding salaries and lack of resources <https://india.mongabay.com/2024/08/uttarakhand-forests-burn-while-fire-guards-face-outstanding-salaries-and-lack-of-resources/>"
29.1,37,36,environment,B,verified,आग बुझाने वालों का ही वेतन बाक़ी,The people who fight the fires were not paid,"जिन फ़ायर वॉचरों ने जंगल की आग से लड़ाई लड़ी, उन्हीं का कहना है कि उनका बकाया वेतन नहीं मिला और उनके पास ज़रूरी उपकरण तक नहीं थे। जो लोग आग बुझाने जाते हैं, उन्हें समय पर पैसा और साज़ो-सामान क्यों नहीं मिलता?",The fire watchers who fought the forest fires say their wages were outstanding and that they were not given adequate equipment. Why are the people sent to fight the fires not paid on time or properly equipped?,RTI-08,https://70sawal.github.io/q/36/,Mongabay India: Uttarakhand forests burn while fire guards face outstanding salaries and lack of resources <https://india.mongabay.com/2024/08/uttarakhand-forests-burn-while-fire-guards-face-outstanding-salaries-and-lack-of-resources/>
30,38,,disaster,A,verified,"जोशीमठ, सिलक्यारा, आग: क्या राज्य तैयार है?","Joshimath, Silkyara, fires: is the state prepared?","जोशीमठ धँसा और पुनर्वास नीति सोलह महीने तक नहीं बनी। सिलक्यारा सुरंग गिरी और 41 मज़दूर 17 दिन फँसे रहे। 2024 में जंगल की आग में देश में हम पहले नंबर पर आ गए। ये तीन अलग हादसे नहीं हैं, ये एक ही सवाल है: क्या यह राज्य आपदा के लिए तैयार है?","Joshimath subsided and no rehabilitation policy existed for sixteen months. The Silkyara tunnel collapsed and 41 workers were trapped for 17 days. In 2024 we ranked first in the country for forest fires. These are not three separate accidents, they are one question: is this state prepared for disaster at all?",,https://70sawal.github.io/q/38/,"IIRS, ISRO: Satellite-based observations of forest fires, 2024, in Uttarakhand <https://science.iirs.gov.in/satellite-based-observations-of-forest-fires-2024-in-uttarakhand/> | ETV Bharat: Silkyara tunnel, where 41 workers were trapped after 2023 landslide, to open early 2027 <https://www.etvbharat.com/en/bharat/silkyara-tunnel-in-uttarkashi-where-41-workers-were-trapped-after-2023-landslide-to-open-early-2027-enn26020904299>"
31,39,,infrastructure,B,verified,कोर्ट की अपनी समिति के अध्यक्ष ने इस्तीफ़ा दिया,The chairman of the Court's own committee resigned,"चारधाम परियोजना की निगरानी के लिए सुप्रीम कोर्ट ने सितंबर 2019 में एक उच्चाधिकार समिति बनाई थी, जिसके अध्यक्ष थे पर्यावरणविद् डॉ. रवि चोपड़ा। जनवरी 2022 में उन्होंने इस्तीफ़ा दे दिया, जब कोर्ट ने 'सुरक्षा कारणों' का हवाला देकर समिति की मुख्य सिफ़ारिश (सड़क की चौड़ाई 5.5 मीटर तक सीमित रखने) को नहीं माना। जब सुप्रीम कोर्ट की अपनी बनाई समिति का अध्यक्ष ही इस्तीफ़ा दे दे, तो सवाल किससे पूछें?","The Supreme Court constituted a High Powered Committee in September 2019 to oversee the Char Dham project, chaired by the environmentalist Dr Ravi Chopra. In January 2022 he resigned, after the Court, citing 'security concerns', declined to accept the committee's central recommendation to limit road width to 5.5 metres in fragile terrain. When the chairman of the Supreme Court's own committee resigns, who is left to ask?",,https://70sawal.github.io/q/39/,North East Now: Why I quit: Ravi Chopra details how the government 'bulldozed' the Char Dham highway project <https://nenow.in/opinion/interview-why-i-quit-environmentalist-ravi-chopra-details-how-govt-bulldozed-char-dham-highway-project.html> | Mongabay India: Risky development in Uttarakhand: interview with environmentalist Ravi Chopra <https://news.mongabay.com/2024/02/risky-development-in-uttarakhand-interview-with-environmentalist-ravi-chopra/>
32,40,,environment,A,verified,"पेड़ का ₹13.86 करोड़, आई-फ़ोन और लैपटॉप पर","Rs 13.86 crore of tree money, spent on iPhones and laptops","पेड़ काटने के बदले नए पेड़ लगाने के लिए जो पैसा आता है (CAMPA), CAG की रिपोर्ट कहती है कि उसमें से 13.86 करोड़ रुपये ऐसे कामों पर ख़र्च कर दिए गए जिनकी इजाज़त ही नहीं थी, इमारतों की मरम्मत, अदालती मुक़दमे, 'गणमान्य लोगों के दौरे', और आई-फ़ोन, लैपटॉप, फ़्रिज, कूलर व स्टेशनरी की ख़रीद। जंगल का पैसा आई-फ़ोन पर क्यों?","CAMPA money exists to plant new trees in place of those felled. The CAG records that Rs 13.86 crore of it was diverted to activities that were not permitted at all, renovating buildings, court cases, 'personage visits', and the purchase of iPhones, laptops, fridges, coolers and stationery. Why is forest money buying iPhones?",RTI-09,https://70sawal.github.io/q/40/,"Comptroller and Auditor General of India: CAG Report No. 5 of 2024 — Performance Audit of CAMPA, Uttarakhand (official PDF) <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-5-of-2024_PA-on-CAMPA_UK_English-067b7207df21da8.12397130.pdf> | Business Standard: CAG flags misuse, delays in Uttarakhand's compensatory afforestation funds <https://www.business-standard.com/india-news/cag-flags-misuse-delays-in-uttarakhand-s-compensatory-afforestation-funds-125022200477_1.html>"
32.1,41,40,environment,A,verified,लगाए गए तीन में से दो पौधे मर गए,Two of every three saplings planted died,"CAG के मुताबिक 2017 से 2022 के बीच लगाए गए पौधों की जीवित रहने की दर सिर्फ़ 33% रही, जबकि वन अनुसंधान संस्थान का मानक 60-65% है। यानी हर तीन में से दो पौधे मर गए। कटे पेड़ों की भरपाई हुई कहाँ?","The CAG records that the survival rate of trees planted between 2017 and 2022 was just 33%, against the Forest Research Institute's standard of 60-65%. Two of every three saplings died. So where exactly were the felled trees compensated for?",RTI-09,https://70sawal.github.io/q/40/,"Comptroller and Auditor General of India: CAG Report No. 5 of 2024 — Performance Audit of CAMPA, Uttarakhand (official PDF) <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-5-of-2024_PA-on-CAMPA_UK_English-067b7207df21da8.12397130.pdf> | Business Standard: CAG flags misuse, delays in Uttarakhand's compensatory afforestation funds <https://www.business-standard.com/india-news/cag-flags-misuse-delays-in-uttarakhand-s-compensatory-afforestation-funds-125022200477_1.html>"
32.2,42,40,environment,A,verified,37 मामलों में वनीकरण आठ साल देर से,Afforestation delayed by eight years in 37 cases,"CAG ने पाया कि 37 मामलों में क्षतिपूर्ति वनीकरण आठ साल से भी ज़्यादा देर से हुआ, जिससे लागत 11.54 करोड़ रुपये बढ़ गई। पेड़ पहले कट गए, लगे आठ साल बाद। इस बीच पहाड़ का क्या हुआ?","The CAG found compensatory afforestation delayed by more than eight years in 37 cases, escalating costs by Rs 11.54 crore. The trees were felled first and planted eight years later. What happened to the hillside in between?",RTI-09,https://70sawal.github.io/q/40/,"Comptroller and Auditor General of India: CAG Report No. 5 of 2024 — Performance Audit of CAMPA, Uttarakhand (official PDF) <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-5-of-2024_PA-on-CAMPA_UK_English-067b7207df21da8.12397130.pdf> | Business Standard: CAG flags misuse, delays in Uttarakhand's compensatory afforestation funds <https://www.business-standard.com/india-news/cag-flags-misuse-delays-in-uttarakhand-s-compensatory-afforestation-funds-125022200477_1.html>"
33,43,,environment,A,verified,"पेड़ लगाने का पैसा, टाइगर सफ़ारी पर","Money meant for planting trees, spent on a tiger safari","CAG की सूची में जिन 'अस्वीकार्य' कामों पर CAMPA का पैसा लगा, उनमें 'टाइगर सफ़ारी का काम' भी शामिल है। और जिस पाखरो टाइगर सफ़ारी पर सुप्रीम कोर्ट में अवैध पेड़ कटान का मामला चला, वो इसी सिलसिले का हिस्सा है। पेड़ लगाने का पैसा उसी परियोजना पर कैसे लगा, जिस पर पेड़ काटने के आरोप थे?",Among the 'inadmissible' uses of CAMPA money listed by the CAG is 'tiger safari work'. And the Pakhro tiger safari is the project at the centre of the illegal tree-felling case before the Supreme Court. How did money meant for planting trees end up on the very project accused of felling them?,RTI-09,https://70sawal.github.io/q/43/,"Comptroller and Auditor General of India: CAG Report No. 5 of 2024 — Performance Audit of CAMPA, Uttarakhand (official PDF) <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-5-of-2024_PA-on-CAMPA_UK_English-067b7207df21da8.12397130.pdf> | Business Standard: CAG flags misuse, delays in Uttarakhand's compensatory afforestation funds <https://www.business-standard.com/india-news/cag-flags-misuse-delays-in-uttarakhand-s-compensatory-afforestation-funds-125022200477_1.html> | Bar and Bench: Supreme Court pulls up former Minister for destroying Jim Corbett, bans tiger safari in core area <https://www.barandbench.com/news/supreme-court-pulls-up-former-minister-destroying-jim-corbett-bans-tiger-safari-core-area>"
34,44,,environment,A,verified,कॉर्बेट में कोर्ट को ख़ुद दख़ल देना पड़ा,The Court had to step into Corbett itself,"सुप्रीम कोर्ट ने उत्तराखंड सरकार को आदेश दिया कि कॉर्बेट टाइगर रिज़र्व में अवैध निर्माण और बड़े पैमाने पर पेड़ कटान से हुए पारिस्थितिक नुक़सान की पूरी भरपाई की जाए, तीन महीने के भीतर सारे अवैध ढाँचे गिराए जाएँ, और बहाली की निगरानी केंद्रीय अधिकार प्राप्त समिति (CEC) करे। सवाल यह है, जब पेड़ कट रहे थे और निर्माण हो रहा था, तब रोकने वाला कौन था?","The Supreme Court has directed the Uttarakhand government to fully restore the ecological damage caused by unauthorised construction and large-scale tree felling in Corbett Tiger Reserve, to demolish all illegal structures within three months, and placed the restoration under the supervision of the Central Empowered Committee. The question is: while the trees were being felled and the structures built, whose job was it to stop it?",,https://70sawal.github.io/q/44/,"The Statesman: SC orders Uttarakhand to restore ecological damage in Corbett, pull down illegal structures; CEC to oversee <https://www.thestatesman.com/india/sc-orders-uttarakhand-to-put-back-ecological-damage-in-corbett-pull-down-illegal-structures-cec-to-oversee-restoration-1503513458.html> | Supreme Court Observer: In re: Corbett Tiger Reserve — case record <https://www.scobserver.in/supreme-court-observer-law-reports-scolr/in-re-corbett-tiger-reserve-ecological-sensitive-zone/> | Bar and Bench: Supreme Court pulls up former Minister for destroying Jim Corbett, bans tiger safari in core area <https://www.barandbench.com/news/supreme-court-pulls-up-former-minister-destroying-jim-corbett-bans-tiger-safari-core-area>"
35,45,,environment,A,verified,कॉर्बेट मामले में सुप्रीम कोर्ट की कड़ी टिप्पणी,Supreme Court's sharp criticism in the Corbett case,"कॉर्बेट मामले में सुप्रीम कोर्ट ने तत्कालीन वन मंत्री और एक प्रभागीय वनाधिकारी की भूमिका पर कड़ी टिप्पणी की। जब देश की सबसे बड़ी अदालत को ख़ुद यह कहना पड़े, तो राज्य सरकार ने अपने स्तर पर क्या कार्रवाई की, और कब?","In the Corbett matter the Supreme Court criticised the role of the then Forest Minister and a Divisional Forest Officer. When the country's highest court has to say that itself, what action did the state government take on its own, and when?",,https://70sawal.github.io/q/45/,"Bar and Bench: Supreme Court pulls up former Minister for destroying Jim Corbett, bans tiger safari in core area <https://www.barandbench.com/news/supreme-court-pulls-up-former-minister-destroying-jim-corbett-bans-tiger-safari-core-area> | Supreme Court Observer: In re: Corbett Tiger Reserve — case record <https://www.scobserver.in/supreme-court-observer-law-reports-scolr/in-re-corbett-tiger-reserve-ecological-sensitive-zone/>"
36,46,,environment,A,verified,"अलग-अलग घटनाएँ, या एक तरीक़ा?","Separate incidents, or a method?","चारधाम परियोजना को EIA से बचाने के लिए 53 हिस्सों में बाँटा गया। सुप्रीम कोर्ट की अपनी समिति की सिफ़ारिश नहीं मानी गई और अध्यक्ष ने इस्तीफ़ा दे दिया। पेड़ लगाने का पैसा आई-फ़ोन और लैपटॉप पर ख़र्च हुआ। कॉर्बेट में अवैध कटान पर कोर्ट को ख़ुद दख़ल देना पड़ा। ये अलग-अलग घटनाएँ हैं, या एक तरीक़ा?","The Char Dham project was split into 53 parts to avoid an environmental impact assessment. The Supreme Court's own committee had its recommendation set aside and its chairman resigned. Money meant for planting trees was spent on iPhones and laptops. In Corbett, the Court itself had to intervene over illegal felling. Are these separate incidents, or a method?",,https://70sawal.github.io/q/46/,"Comptroller and Auditor General of India: CAG Report No. 5 of 2024 — Performance Audit of CAMPA, Uttarakhand (official PDF) <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-5-of-2024_PA-on-CAMPA_UK_English-067b7207df21da8.12397130.pdf> | Bar and Bench: Supreme Court pulls up former Minister for destroying Jim Corbett, bans tiger safari in core area <https://www.barandbench.com/news/supreme-court-pulls-up-former-minister-destroying-jim-corbett-bans-tiger-safari-core-area>"
36.1,98,46,environment,B,verified,"भागीरथी इको ज़ोन में 6,822 पेड़","6,822 trees in the Bhagirathi eco-zone","दिसंबर 2025 में भागीरथी इको सेंसिटिव ज़ोन में भैरोंघाटी से झाला तक 20.6 किलोमीटर सड़क चौड़ीकरण के लिए 41.92 हेक्टेयर में 6,822 पेड़ काटने की मंज़ूरी दी गई, जिनमें पुराने देवदार भी हैं। धराली में आई आपदा के बाद यह सवाल और बड़ा हो जाता है कि इस मंज़ूरी से पहले भूस्खलन का ताज़ा आकलन कराया गया था या नहीं?","In December 2025, clearance was given to fell 6,822 trees, including old deodars, across 41.92 hectares for widening 20.6 km of road from Bhaironghati to Jhala inside the Bhagirathi eco-sensitive zone. After the Dharali disaster, the question is sharper: was a fresh landslide risk assessment carried out before this clearance was granted?",RTI-16,https://70sawal.github.io/q/46/,"The Logical Indian: Uttarakhand clears 6,822 trees in Bhagirathi eco-zone for Char Dham road, igniting landslide fears after Dharali floods <https://thelogicalindian.com/uttarakhand-clears-6822-trees-in-bhagirathi-eco-zone-for-char-dham-road-igniting-landslide-fears-after-dharali-floods/> | Down To Earth: Uttarakhand gives in-principle approval for Char Dham road through disaster-prone zone, putting thousands of deodar trees at risk <https://www.downtoearth.org.in/governance/uttarakhand-gives-in-principle-approval-for-char-dham-road-through-disaster-prone-zone-putting-thousands-of-deodar-trees-at-risk>"
36.2,99,46,environment,B,verified,"देहरादून में 4,369 पेड़, रोके गए लोगों ने","4,369 trees in Dehradun, stopped by residents","देहरादून के सात मोड़ पर ₹743 करोड़ की सड़क परियोजना के लिए 4,369 पेड़ काटे जाने थे। स्थानीय लोगों के विरोध के बाद कटान रुका। सवाल यह है कि इस परियोजना की मंज़ूरी से पहले कोई सार्वजनिक सुनवाई हुई थी या नहीं, और उसका रिकॉर्ड कहाँ है?","A Rs 743 crore road project at Saat Mod in Dehradun required 4,369 trees to be felled. The felling was halted after residents protested. Was any public consultation held before the project was cleared, and where is the record of it?",RTI-16,https://70sawal.github.io/q/46/,"Down To Earth: Residents, activists converge on Saat Mod in Dehradun, as authorities prepare to fell 4,369 trees <https://www.downtoearth.org.in/forests/residents-activists-converge-on-saat-mod-in-dehradun-as-authorities-prepare-to-fell-4369-trees> | The Better India: Dehradun residents halt felling of 4,369 trees for Rs 743-crore project <https://thebetterindia.com/changemakers/saat-mod-dehradun-tree-felling-protest-halted-12194201>"
37,47,,ucc,B,verified,दस दिन में सिर्फ़ एक लिव-इन पंजीकरण,One live-in registration in ten days,"समान नागरिक संहिता जनवरी 2025 में लागू हुई। लागू होने के पहले दस दिनों में पूरे राज्य से सिर्फ़ एक लिव-इन रिश्ता पंजीकृत हुआ। इतना बड़ा क़ानूनी ढाँचा, इतनी बड़ी घोषणा, और नतीजा एक? यह क़ानून किस समस्या को हल करने के लिए बना था?","The Uniform Civil Code came into force in January 2025. In its first ten days, exactly one live-in relationship was registered in the entire state. A legal framework and an announcement of that scale, and a result of one. Which problem was this law built to solve?",RTI-10,https://70sawal.github.io/q/47/,"Deccan Herald: Only one live-in relationship registered in 10 days after UCC implementation in Uttarakhand <https://www.deccanherald.com/india/uttarakhand/only-one-live-in-relationship-registered-in-10-days-after-ucc-implementation-in-uttarakhand-3390741> | The India Forum: Uttarakhand Uniform Civil Code: Excessive Bureaucracy, Few Rights <https://www.theindiaforum.in/law/uttarakhand-uniform-civil-code-excessive-bureaucracy-few-rights>"
37.1,48,47,ucc,B,verified,पंजीकरण न कराया तो छह महीने की जेल,Six months in jail for not registering,"UCC के तहत लिव-इन रिश्ते को शुरू करते और ख़त्म करते, दोनों वक़्त पंजीकृत कराना अनिवार्य है, और ऐसा न करने पर छह महीने तक की जेल का प्रावधान है। यह नियम उत्तराखंड के उन निवासियों पर भी लागू है जो राज्य के बाहर रहते हैं। आज तक इस प्रावधान के तहत कितने मुक़दमे दर्ज हुए?","Under the UCC, registering a live-in relationship is mandatory both when it begins and when it ends, with a jail term of up to six months for failing to do so, and the requirement extends to Uttarakhand residents living outside the state. How many prosecutions have been brought under that provision to date?",RTI-10,https://70sawal.github.io/q/47/,"The India Forum: Uttarakhand Uniform Civil Code: Excessive Bureaucracy, Few Rights <https://www.theindiaforum.in/law/uttarakhand-uniform-civil-code-excessive-bureaucracy-few-rights> | Citizens for Justice and Peace: The Uniform Civil Code of Uttarakhand: advancement in gender justice or violating individual liberties? <https://cjp.org.in/the-uniform-civil-code-ucc-of-uttarakhand-advancement-in-gender-justice-or-violating-individual-liberties/>"
37.2,50,47,ucc,B,verified,एक साल में ही संहिता बदलनी पड़ी,The code had to be amended within a year,"जनवरी 2025 में लागू हुई संहिता में जनवरी 2026 तक संशोधन अध्यादेश लाना पड़ा और लिव-इन तथा विवाह पंजीकरण के नियम बदलने पड़े। यानी एक साल के भीतर ही क़ानून में सुधार की ज़रूरत पड़ गई। जो क़ानून इतनी जल्दी बदलना पड़े, वो तैयार कितना था?","A code that came into force in January 2025 required an amendment ordinance by January 2026, revising the rules on live-in and marriage registration. The law needed fixing within a year of commencement. How ready was it when it was passed?",,https://70sawal.github.io/q/47/,"News on AIR (Prasar Bharati): Uttarakhand govt implements the UCC (Amendment) Ordinance, 2026 <https://www.newsonair.gov.in/uttarakhand-govt-implements-the-ucc-amendment-ordinance-2026> | The Federal: Uttarakhand revises UCC norms on live-in and marriage registration <https://thefederal.com/category/states/north/uttarakhand/uttarakhand-revises-ucc-norms-on-live-in-and-marriage-registration-212129>"
38,49,,ucc,B,verified,'समान' संहिता से अनुसूचित जनजातियाँ बाहर,Scheduled Tribes excluded from the 'uniform' code,"उत्तराखंड की समान नागरिक संहिता से अनुसूचित जनजातियों को बाहर रखा गया है। अगर संहिता सबके लिए एक जैसी नहीं है, तो उसे 'समान' किस आधार पर कहा जा रहा है?","Scheduled Tribes are excluded from Uttarakhand's Uniform Civil Code. If the code does not apply uniformly to everyone, on what basis is it being called uniform?",,https://70sawal.github.io/q/49/,"Citizens for Justice and Peace: The Uniform Civil Code of Uttarakhand: advancement in gender justice or violating individual liberties? <https://cjp.org.in/the-uniform-civil-code-ucc-of-uttarakhand-advancement-in-gender-justice-or-violating-individual-liberties/> | The India Forum: Uttarakhand Uniform Civil Code: Excessive Bureaucracy, Few Rights <https://www.theindiaforum.in/law/uttarakhand-uniform-civil-code-excessive-bureaucracy-few-rights>"
39,51,,tourism,B,verified,"51 लाख यात्री, क्षमता का अध्ययन कहाँ?",51 lakh pilgrims. Where is the capacity study?,"2024 में 48 लाख से ज़्यादा और 2025 में 51 लाख से ज़्यादा श्रद्धालु चारधाम आए। हर साल 'रिकॉर्ड संख्या' की घोषणा होती है। लेकिन इन रास्तों, इन क़स्बों, इन पहाड़ों की क्षमता कितनी है, क्या इसका कोई वैज्ञानिक अध्ययन हुआ है, और उसकी रिपोर्ट कहाँ है?","More than 48 lakh pilgrims came to the Char Dham in 2024 and over 51 lakh in 2025. Every year a 'record number' is announced. But what are these roads, these towns and these mountains actually able to carry, has any scientific carrying-capacity study been done, and where is its report?",RTI-11,https://70sawal.github.io/q/51/,"Garhwal Post: Char Dham Yatra 2025: SDC Foundation urges government to shift focus from record numbers to a safe, sustainable Yatra <https://garhwalpost.in/urges-govt-to-shift-focus-from-record-numbers-to-safe-sustainable-yatra/> | Garhwal Post: Char Dham Yatra 2025 pilgrim numbers — SDC Foundation analysis <https://garhwalpost.in/char-dham-yatra-2025-continues-with-decline-in-pilgrim-numbers-sdc-foundation/>"
